game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-06-03,1805.3408577878104,2318.0,2677.3082191780823,,,2441.136186770428,2279.966023875115,1372.2631578947369,2515.3829787234044,,,2119.9,2455.167253521127
2021-06-04,1705.063492063492,,2514.0797872340427,1025.0,1991.2142857142858,2343.2006472491908,2322.0111888111887,1481.0454545454545,2577.6486486486488,,,2136.3610169491526,2472.6305220883532
2021-06-05,1764.5502008032129,2480.0,2617.0767326732675,,,2419.2562277580073,2317.1608527131784,1573.732283464567,2465.5135135135133,,,2146.220890410959,2453.9044740024183
2021-06-06,1809.3930131004367,,2592.511811023622,,,2492.4615384615386,2299.671787709497,1292.2894736842106,2577.288732394366,,,2144.6477732793524,2499.0086206896553
2021-06-07,1839.7936507936508,,2596.6428571428573,,,2451.21875,2307.356037151703,1496.0,2661.0666666666666,,,2197.675213675214,2436.457142857143
2021-06-08,1773.0098684210527,2212.0,2474.8388625592415,,,2325.5172413793102,2260.4631093544135,1214.3333333333333,2513.1747572815534,,,2123.557463672391,2420.6143958868893
2021-06-09,1662.3944020356234,2539.0,2502.3746223564954,,,2466.4828767123286,2250.5609589041096,1386.56,2543.815789473684,,,2085.0,2393.760563380282
2021-06-10,1732.7303921568628,,2464.7863247863247,,,2227.923076923077,2299.237810945274,1325.5666666666666,2442.818181818182,,,2158.4357682619648,2435.9551569506725
2021-06-11,1756.7823129251701,2168.0,2586.4464285714284,,2414.5,2322.678756476684,2309.49343832021,1399.6363636363637,2471.4,,,2141.056710775047,2413.5359317904995
2021-06-12,1765.944099378882,2467.0,2472.8147208121827,,1884.2666666666667,2447.5253012048192,2268.209604153147,1323.4795918367347,2643.904761904762,,,2124.5355805243444,2402.230862697448
2021-06-13,1717.0732673267328,,2366.6539792387543,,1917.0526315789473,2279.076677316294,2226.0516655336505,1264.1875,2392.5625,,,2102.439276485788,2370.6661971830986
2021-06-14,1731.5236686390533,,2388.952,,,2386.967741935484,2255.71630537229,1433.6764705882354,2629.59375,,,2090.0314465408806,2427.171003717472
2021-06-15,1693.3399668325042,,2508.6072423398327,,,2382.90099009901,2248.125081859856,1292.3648648648648,2446.2241379310344,,,2095.804109589041,2364.4944903581268
2021-06-16,1733.7116564417179,,2461.6308724832215,,,2357.505154639175,2266.6127946127945,1484.6808510638298,2454.4363636363637,,,2151.949290060852,2438.475056689342
2021-06-17,1800.1092150170648,2555.0,2668.008163265306,,,2327.314814814815,2276.1318565400843,1471.36,2599.1285714285714,,,2170.30297029703,2428.75854214123
2021-06-18,1691.4872340425532,,2447.875,,,2380.4692556634304,2235.457520453115,1338.3103448275863,2593.6071428571427,,,2052.3185840707965,2416.9121779859483
2021-06-19,1738.0162932790224,,2425.1993957703926,,,2293.172661870504,2204.195744680851,1043.1458333333333,2487.6417910447763,,,2072.3241379310343,2351.595933926302
2021-06-20,1759.6763565891472,2339.0,2401.690789473684,,,2309.2092307692305,2254.5357859531773,1392.2285714285715,2563.0117647058823,,,2116.2247340425533,2416.4323607427054
2021-06-21,1746.9906542056074,,2419.273195876289,,,2410.742424242424,2264.858407079646,1442.9166666666667,2546.45,,,2090.282894736842,2411.716814159292
2021-06-22,1714.4753820033957,1711.0,2491.8986666666665,,,2294.6849315068494,2232.769938650307,1453.578947368421,2382.6603773584907,,,2111.2172351885097,2386.122596153846
2021-06-23,1734.3023255813953,2450.5714285714284,2498.318181818182,,,2417.6592178770948,2240.8473867595817,1380.7283950617284,2498.283185840708,406.8421052631579,,2131.4226646248085,2383.9421593830334
2021-06-24,1715.6550522648083,,2418.2908163265306,,1884.7857142857142,2292.721568627451,2247.5052833813643,1036.8333333333333,2650.4848484848485,,,2080.8277886497062,2398.9195979899496
2021-06-25,1773.1281588447653,2153.0,2428.0955056179773,,,2319.0648464163824,2232.8884026258206,1393.9183673469388,2318.938271604938,,,2074.3102998696218,2436.1305361305363
2021-06-26,1699.7749546279492,,2456.1622276029057,,,2342.7609427609427,2203.2335329341317,1270.9457364341085,2687.1363636363635,,,2077.622279129321,2370.562678062678
2021-06-27,1671.080103359173,2289.0,2461.89898989899,,,2279.1814516129034,2218.5586289837643,1409.8285714285714,2479.8888888888887,,,2111.2731554160127,2391.656455142232
2021-06-28,1681.188630490956,2504.5,2421.2361623616234,,,2379.4816326530613,2196.0912584053794,967.1176470588235,2554.2580645161293,,,2084.4210526315787,2356.552028218695
2021-06-29,1581.7662037037037,2365.4285714285716,2591.4700598802397,,1990.5,2364.753846153846,2231.269588313413,1237.7288135593221,2520.3430656934306,,,2086.669811320755,2362.5485074626868
2021-06-30,1717.832229580574,2243.0,2457.9529411764706,,1591.5,2306.843137254902,2207.3856613102594,1093.922077922078,2418.700934579439,,,2062.309065934066,2338.9119565217393
2021-07-01,1697.2864721485412,2514.0,2529.3366336633662,,,2323.4474708171206,2216.6286764705883,1348.945945945946,2174.7894736842104,,,2104.9045871559633,2404.185792349727
2021-07-02,1693.9488636363637,,2406.4144736842104,1089.8181818181818,,2333.9291338582675,2249.6749329758713,1535.0,2452.5087719298244,,,2114.6435643564355,2433.5604026845635
2021-07-03,1749.7169811320755,2264.0,2429.0,,,2336.0102389078497,2225.5847665847664,1331.7410714285713,2449.4565217391305,,,2088.2861356932153,2402.4214046822744
