,level_0,index,game_date,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate
,,,,FA,CH,FT,CU,SI,FS,FC
199,199,199,2015-11-01,,1500.7692307692307,2029.1363636363637,2090.75,2349.1290322580644,2043.0,2394.6923076923076
200,200,200,2016-04-03,,1685.2934782608695,2127.141592920354,2630.6875,2199.427272727273,2604.0,2400.9074074074074
201,201,201,2016-04-04,,1779.7038626609442,2264.9467213114754,2427.3802816901407,2179.952,1239.8333333333333,2196.9333333333334
202,202,202,2016-04-05,,1723.4969135802469,2131.7876923076924,2333.8977272727275,2156.5964523281596,1471.8157894736842,2257.280991735537
203,203,203,2016-04-06,,1730.590785907859,2203.444668008048,2491.311203319502,2097.1457627118643,1719.0625,2318.61
204,204,204,2016-04-07,,1864.5759162303666,2138.3344051446948,2413.168067226891,2147.9177631578946,1641.5243902439024,2287.5384615384614
205,205,205,2016-04-08,,1715.955456570156,2179.4710144927535,2408.388198757764,2159.96261682243,1544.360465116279,2286.2032085561495
206,206,206,2016-04-09,,1844.755980861244,2175.5160427807486,2481.6,2075.7483146067416,1336.2037037037037,2203.853146853147
207,207,207,2016-04-10,,1711.850267379679,2148.8241379310343,2450.221238938053,2145.7896749521988,1460.4714285714285,2278.9080459770116
208,208,208,2016-04-11,,1716.6746268656716,2123.166144200627,2453.13309352518,2112.9479768786127,1531.057142857143,2312.6554054054054
209,209,209,2016-04-12,,1790.4630136986302,2206.32241813602,2561.784810126582,2184.3646112600536,1622.3620689655172,2413.7525773195875
210,210,210,2016-04-13,,1768.8683473389356,2139.8707224334603,2394.1624649859946,2113.058666666667,1623.0506329113923,2306.3870967741937
211,211,211,2016-04-14,,1685.7261146496814,2117.867132867133,2399.1990950226245,2189.136,1507.1666666666667,2172.491712707182
212,212,212,2016-04-15,,1776.6884531590415,2190.620535714286,2530.2866242038217,2059.668439716312,1405.4868421052631,2301.740740740741
213,213,213,2016-04-16,,1810.1931589537223,2141.0027397260274,2510.8917525773195,2116.2580645161293,1549.0,2379.0083682008367
