,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
157,bird,kyle,613317,2391.339,2438.8086,47.46939,0.077030316,0.10511754,0.028087221,0.09107393,2415.074
158,blach,ty,621389,2082.3433,2110.1565,27.813112,0.014986158,0.016674124,0.0016879647,0.01583014,2096.25
159,black,ray,605143,2306.6013,2333.8098,27.208654,0.013681346,0.015296031,0.0016146849,0.014488688,2320.2056
160,blackburn,paul,621112,2153.8586,2193.5176,39.658855,0.011404271,0.012876613,0.0014723416,0.012140442,2173.6882
161,blair,aaron,594760,2266.7732,2284.6877,17.914509,0.07832241,0.104449674,0.026127262,0.09138604,2275.7305
162,blanco,andres,433217,2127.2722,2167.0122,39.73981,0.07090368,0.098339565,0.027435884,0.08462162,2147.142
163,blandino,alex,607468,2027.4305,2051.5168,24.086325,0.010661823,0.01215426,0.0014924369,0.011408041,2039.4736
164,blanton,joe,430599,2062.621,2101.1377,38.516716,0.05833671,0.0795798,0.021243088,0.06895825,2081.8794
165,blazek,michael,518468,2287.9292,2329.1516,41.222355,0.04824004,0.06555794,0.017317904,0.056898993,2308.5403
166,bleich,jeremy,542946,1959.3323,1978.1753,18.843004,0.07117652,0.097017355,0.02584083,0.08409694,1968.7538
167,bleier,richard,542947,2282.59,2337.491,54.900696,0.017824648,0.028120968,0.010296321,0.02297281,2310.0405
168,blevins,jerry,460283,2146.0203,2188.1968,42.17656,0.08239853,0.11611148,0.033712957,0.099255,2167.1086
169,blewett,scott,656240,2471.8845,2497.8635,25.979187,0.012266756,0.013731614,0.0014648577,0.012999185,2484.874
170,bochy,brett,594762,2149.946,2177.1013,27.155413,0.066651404,0.08997847,0.023327062,0.07831494,2163.5237
171,bolanos,ronald,671790,2151.3608,2176.551,25.190283,0.014836426,0.016696993,0.0018605668,0.01576671,2163.956
172,bolsinger,mike,502211,2360.92,2384.4788,23.558704,0.015376336,0.017277706,0.0019013707,0.016327022,2372.6995
173,bonilla,lisalverto,570810,2316.5933,2339.5376,22.944437,0.02378277,0.027075766,0.0032929953,0.025429267,2328.0654
174,borucki,ryan,621366,2231.364,2264.1052,32.74105,0.08436539,0.11608135,0.031715956,0.10022337,2247.7346
175,boscan,wilfredo,517448,1991.4778,2023.9169,32.439022,0.073835224,0.104564555,0.03072933,0.089199886,2007.6973
176,boshers,buddy,542953,1816.8423,1851.2318,34.38957,0.017251123,0.019131863,0.0018807407,0.018191492,1834.037
177,bourque,james,630263,2235.3435,2264.7458,29.402246,0.07054372,0.09719647,0.026652751,0.08387009,2250.0447
178,bowden,ben,641386,2205.5576,2238.7124,33.154747,0.013479628,0.015355096,0.0018754686,0.014417362,2222.135
179,bowman,matthew,621199,1669.0125,1687.811,18.798552,0.009407198,0.010738353,0.0013311551,0.010072775,1678.4117
180,boxberger,brad,502202,2104.4917,2136.6768,32.185062,0.07258586,0.101640895,0.029055037,0.08711338,2120.5842
181,boyd,matt,571510,2140.0115,2186.6626,46.651066,0.012413004,0.014094091,0.0016810864,0.013253547,2163.3372
182,boyer,blaine,430641,1793.1442,1820.5785,27.434326,0.01316257,0.0149401175,0.0017775475,0.014051344,1806.8613
183,brach,brad,542960,1979.2223,2006.0554,26.83314,0.013402553,0.01514217,0.0017396162,0.014272361,1992.6388
184,bracho,silvino,611093,2302.4856,2331.3188,28.833288,0.06794226,0.0930999,0.025157636,0.08052108,2316.9023
185,bradford,chase,607473,2326.5708,2370.7363,44.165443,0.014099469,0.015783982,0.001684513,0.014941726,2348.6536
186,bradley,archie,605151,1952.3285,1962.7484,10.419833,0.0024802044,0.0031268052,0.0006466007,0.002803505,1957.5385
187,bradley,jed,605152,1866.6909,1893.929,27.238052,0.036844835,0.05933128,0.022486446,0.04808806,1880.3099
188,brady,michael,572728,1764.9105,1810.5732,45.662796,0.014609805,0.016467275,0.00185747,0.015538541,1787.7418
189,brantly,rob,542963,2127.917,2163.2634,35.34633,0.017334694,0.02189567,0.004560976,0.01961518,2145.59
190,brasier,ryan,518489,2151.6606,2174.9658,23.30531,0.010576178,0.012193387,0.0016172094,0.011384783,2163.3132
191,brault,steven,643230,2319.2642,2335.49,16.225754,0.013302769,0.014928946,0.0016261776,0.014115857,2327.377
192,braymer,ben,664069,2717.7153,2749.1477,31.432531,0.012961167,0.014464747,0.001503581,0.013712957,2733.4314
193,brebbia,john,605154,1829.0908,1861.5582,32.467396,0.052650973,0.07400034,0.021349372,0.06332566,1845.3245
194,brennan,brandon,592165,1769.6942,1839.0304,69.33621,0.015356284,0.021417154,0.00606087,0.018386718,1804.3623
