game_date,CH,CS,CU,EP,FA,FC,FF,FO,FS,FT,KC,KN,SI,SL
2019-05-29,1769.0805369127518,,2440.603448275862,,,2328.867816091954,2258.9439133205865,,1552.2222222222222,2091.7637130801686,2449.3726708074532,,2137.7658862876256,2443.3745980707395
2019-05-30,1823.3159509202453,,2538.8117154811716,,,2382.895061728395,2267.9156626506024,,1353.904761904762,2153.586854460094,2401.170731707317,,2142.532075471698,2424.9214145383103
2019-05-31,1807.4289156626505,,2543.1836228287843,,,2401.486956521739,2277.787518573551,,1480.7843137254902,2141.5626477541373,2458.911111111111,,2142.257217847769,2392.5664160401
2019-06-01,1794.4303797468353,2230.8,2480.914425427873,1968.0,,2437.9691358024693,2296.8938172043013,,1276.8453608247423,2203.7279549718573,2321.9166666666665,,2152.7763157894738,2426.399529964747
2019-06-02,1872.8506375227687,,2563.8922716627635,2506.0,,2305.320652173913,2294.19714817111,,1343.0,2230.6476868327404,2845.621951219512,,2119.376811594203,2406.0029325513196
2019-06-03,1770.6942148760331,,2609.305263157895,,,2304.380530973451,2311.544,,1197.3333333333333,2067.3932584269664,2608.256097560976,,2230.0204081632655,2477.345070422535
2019-06-04,1774.2670068027212,2200.0,2543.396,,1678.7777777777778,2324.7901785714284,2269.640318302387,,1559.3066666666666,2185.886153846154,2396.274509803922,,2106.5056603773587,2404.2871870397644
2019-06-05,1854.6020408163265,,2508.6211604095565,2295.0,,2337.8283828382837,2310.891304347826,,1464.3145161290322,2147.705685618729,2483.896,,2141.5478260869563,2500.0433566433567
2019-06-06,1744.5925,,2453.5087281795513,,,2346.1102362204724,2284.972759856631,,1204.1875,2137.5563909774437,2339.9166666666665,,2095.6420664206644,2411.7339699863574
2019-06-07,1856.8305489260142,2170.5,2404.603305785124,,,2382.3419689119173,2267.1754274857503,,1198.7,2186.492105263158,2439.1188118811883,,2142.3491686460807,2390.944759206799
2019-06-08,1858.4798598949212,,2628.7018518518516,,,2312.238532110092,2282.032277346085,,1228.0,2191.209638554217,2701.438202247191,,2108.9719387755104,2402.32175032175
2019-06-09,1828.7730627306273,,2494.6843373493975,,,2298.734693877551,2262.617092119867,,1453.203125,2142.22371967655,2472.6129032258063,,2129.0639269406392,2391.2884927066452
2019-06-10,1782.7711864406779,,2593.221105527638,,,2428.8402366863907,2292.90625,,1622.9811320754718,2167.88125,2597.3896103896104,,2229.9819277108436,2453.20297029703
2019-06-11,1861.679856115108,2322.6666666666665,2508.544943820225,,,2363.8407079646017,2295.806226516371,,1537.3111111111111,2182.53021978022,2462.802197802198,,2096.529411764706,2460.669318181818
2019-06-12,1813.6380208333333,,2446.064308681672,,,2357.4794520547944,2285.628530050688,,1271.98,2184.8314606741574,2323.78,,2154.8101265822784,2429.8845029239765
2019-06-13,1844.825327510917,2204.0,2523.3910034602077,,,2355.522988505747,2283.897409326425,,1433.7,2219.542288557214,2608.5555555555557,,2045.2356687898089,2492.0249042145592
2019-06-14,1895.4110738255033,,2532.843049327354,2710.6666666666665,,2318.409937888199,2262.7498643516005,,1443.1884057971015,2164.8132530120483,2542.5766423357663,,2156.0180878552974,2433.627147766323
2019-06-15,1710.297619047619,2189.0,2550.0748129675812,,,2330.753138075314,2291.3718861209964,,1394.6930693069307,2176.9054878048782,2564.3275862068967,,2187.4911660777384,2400.8304821150855
2019-06-16,1769.091463414634,,2435.2048517520216,2575.0,,2382.502525252525,2249.46327014218,,1442.375,2139.0148809523807,2327.956204379562,,2154.799076212471,2479.8188874514876
2019-06-17,1816.7225806451613,,2527.7319587628867,,,2358.0258620689656,2310.6395233366434,,1413.3653846153845,2171.268096514745,2488.133333333333,,2199.109170305677,2392.2973451327434
2019-06-18,1742.9011494252873,2224.0,2494.753164556962,,,2338.557603686636,2249.6330845771145,,1190.735294117647,2223.326860841424,2406.239436619718,,2062.33984375,2471.3834196891194
2019-06-19,1897.4180478821363,2372.0,2519.396788990826,,1785.7142857142858,2335.7134670487108,2273.9586082783444,,1426.1914893617022,2164.6951219512193,2509.4444444444443,,2164.8547008547007,2357.0941011235955
2019-06-20,1708.7380352644836,,2596.648829431438,,,2365.0934959349593,2314.1680176860723,,1545.9245283018868,2223.271812080537,2465.3333333333335,,2095.465277777778,2435.732026143791
2019-06-21,1830.2731376975169,2201.25,2566.751773049645,,,2342.057142857143,2295.89156626506,,1370.6290322580646,2148.774818401937,2525.3248730964465,,2127.9246031746034,2524.866576819407
2019-06-22,1731.927813163482,,2477.292343387471,,,2375.9572368421054,2265.6814903846152,,1613.9896907216496,2154.3255813953488,2434.840579710145,,2127.674157303371,2404.1230982019365
2019-06-23,1777.3179723502303,,2520.1095505617977,,,2401.348484848485,2255.4488966318236,888.75,1207.0,2197.0408163265306,2173.294117647059,,2088.0408805031448,2402.391355140187
2019-06-24,1872.2620320855615,,2556.767741935484,2051.0,,2374.3716216216217,2275.92027027027,,1608.4666666666667,2171.925925925926,2335.553191489362,,2160.247058823529,2311.8303571428573
2019-06-25,1858.8563432835822,2297.5,2524.0521739130436,,,2404.558064516129,2292.4293966623877,,1470.25,2201.4117647058824,2577.7798165137615,,2203.4521276595747,2412.736280487805
2019-06-26,1801.0516304347825,,2539.6115485564305,,,2361.1076115485566,2332.4242968282465,759.0,1584.8648648648648,2146.926014319809,2543.978723404255,,2147.8797250859106,2402.504109589041
2019-06-27,1773.7194805194806,2327.0,2522.7748091603053,,,2426.7827715355807,2268.0354978354976,,1237.1666666666667,2096.5488372093023,2610.960396039604,,2130.56338028169,2416.4929178470256
2019-06-28,1832.862745098039,,2493.4866666666667,,,2290.1530944625406,2288.724346076459,1038.6,1478.313253012048,2174.370179948586,2599.9444444444443,,2164.955017301038,2459.956112852665
2019-06-29,1775.8012295081967,,2470.6976127320954,,,2373.7076923076925,2249.891330891331,,1205.9620253164558,2130.5752895752894,2422.5131578947367,,2054.138504155125,2413.829457364341
2019-06-30,1859.8650442477876,,2497.551820728291,,,2356.192837465565,2283.723171565277,,1445.404761904762,2136.612676056338,2389.8636363636365,,2193.7668161434976,2425.2515432098767
2019-07-01,1796.079365079365,,2474.0865384615386,,,2335.5131578947367,2243.966490299824,,1416.125,2207.5756097560975,2461.2,,2150.5384615384614,2381.9961832061067
2019-07-02,1758.9034334763949,,2563.3353846153846,,,2305.049056603774,2299.9640198511165,1007.25,1480.2692307692307,2154.8153477218225,2521.658959537572,,2079.4126984126983,2493.2687224669603
2019-07-03,1838.7706093189963,2288.5,2586.562913907285,,,2357.5083612040135,2312.7884722999443,,1333.0,2147.602870813397,2639.6847826086955,,2168.2906574394465,2437.4788540245568
2019-07-04,1784.1936274509803,,2450.55,,,2342.894117647059,2258.7955997161107,829.0,1315.3478260869565,2179.4548387096775,2383.808510638298,,2184.7569721115538,2404.6718995290425
2019-07-05,1712.36875,2386.0,2518.4584837545126,2124.5,,2307.513043478261,2291.527922077922,,1431.1063829787233,2168.0753623188407,2365.6666666666665,,2087.778125,2462.8643410852715
2019-07-06,1824.5047801147227,,2546.189504373178,,,2374.1642335766423,2289.3756906077347,,1367.6923076923076,2171.786666666667,2411.8819444444443,,2189.774712643678,2368.6003062787136
2019-07-07,1807.1699346405228,2337.0,2514.504347826087,,,2292.51,2290.5187231430327,866.5,1424.1,2132.5513784461155,2506.304964539007,,2126.049295774648,2479.2657004830917
2019-07-11,1517.1666666666667,,2795.6666666666665,,,2488.7272727272725,2422.3680981595094,,,2338.875,,,2067.0,2370.230769230769
2019-07-12,1899.9911504424779,2199.3333333333335,2651.3238341968913,,,2360.4153225806454,2290.1833007175474,,1392.5192307692307,2170.4741200828157,2572.394230769231,,2187.770114942529,2453.0027210884355
2019-07-13,1825.44375,2298.0,2518.8451327433627,,,2291.2458233890216,2304.2750287686995,903.7142857142857,1373.6404494382023,2160.0254901960784,2567.9430379746836,,2134.479569892473,2419.78002894356
2019-07-14,1735.56,,2486.017369727047,2177.0,,2391.9125874125875,2243.7431880108993,819.8,1484.8214285714287,2098.780748663102,2424.8289473684213,,2119.310502283105,2408.17385786802
2019-07-15,1810.2692307692307,,2577.5588235294117,,,2428.555133079848,2288.0895084372705,,1410.7142857142858,2206.0566801619434,2380.953488372093,,2150.1356783919596,2448.825
2019-07-16,1778.3438735177865,,2489.8207547169814,,,2361.6598240469207,2252.602811950791,,1380.9148936170213,2132.168284789644,2579.4777777777776,,2214.978436657682,2363.070464767616
2019-07-17,1931.1544885177452,,2477.368231046931,,1788.1764705882354,2336.1849056603774,2280.6427232979386,,1290.8103448275863,2136.1696658097685,2499.7625899280574,,2097.9134948096885,2458.436220472441
2019-07-18,1796.6301020408164,,2667.679292929293,,2356.0434782608695,2350.2830188679245,2302.052824651504,,1415.7884615384614,2191.6072607260726,2546.018018018018,,2178.276967930029,2438.293103448276
2019-07-19,1822.921052631579,2315.5,2473.8548387096776,,,2339.4937888198756,2290.0911835748793,,1550.5416666666667,2186.437689969605,2456.0875,,2080.5601092896177,2406.3737745098038
2019-07-20,1759.375939849624,,2448.7596153846152,,,2370.5315315315315,2294.6539746158983,849.0,1565.592105263158,2122.5954198473282,2577.1509433962265,,2159.0671641791046,2408.8932178932178
2019-07-21,1799.7858823529411,2442.5,2472.0977653631285,,,2331.1335740072204,2266.549922400414,,1418.551724137931,2163.021212121212,2553.1327433628317,,2110.5718954248364,2355.5483425414363
2019-07-22,1905.8037135278514,,2470.76,,1691.157894736842,2259.7616580310882,2271.488,,1214.44,2158.5523465703973,2335.7049180327867,,2107.042042042042,2422.93125
2019-07-23,1806.152380952381,2374.0,2559.393063583815,2226.0,,2400.9557823129253,2316.3686605981793,,1348.0677966101696,2143.8096234309623,2547.232044198895,,2187.847701149425,2455.9641203703704
2019-07-24,1787.021582733813,,2610.8854166666665,,,2323.592727272727,2308.39449003517,,1484.148148148148,2193.5583756345177,2431.4384615384615,,2087.057401812689,2392.773838630807
2019-07-25,1697.5393258426966,,2468.094276094276,,,2320.8888888888887,2309.1392523364484,,1578.3333333333333,2100.9333333333334,2680.8,,2019.578947368421,2355.031932773109
2019-07-26,1813.526508226691,,2433.51768488746,,,2313.892156862745,2258.4501295336786,,1396.1607142857142,2192.2865497076023,2575.078125,,2131.564766839378,2374.8347676419967
2019-07-27,1798.7830508474576,,2466.9454545454546,,,2296.7122302158273,2270.4921135646687,951.5,1211.128205128205,2153.1650485436894,2632.232558139535,,2113.5290178571427,2398.638928067701
2019-07-28,1852.8392857142858,2398.0,2599.186440677966,,,2375.72,2313.582747603834,,1444.1012658227849,2159.370813397129,2449.418181818182,,2186.2677966101696,2460.7236180904524
2019-07-29,1776.063829787234,,2526.9661016949153,,,2474.842105263158,2311.5201037613488,,1476.0263157894738,2150.6077586206898,2574.25,,2071.1529411764704,2360.394557823129
2019-07-30,1760.7005208333333,,2456.9843400447426,,,2272.988857938719,2289.4548919949175,,1423.7356321839081,2100.354385964912,2508.285714285714,,2120.047493403694,2359.5239520958085
2019-07-31,1771.3570247933885,,2477.578073089701,2200.0,,2260.6852459016395,2308.090909090909,,1561.2941176470588,2170.5397350993376,2619.310344827586,,2064.0057971014494,2432.7168
2019-08-01,1711.992337164751,2336.0,2494.258899676375,,,2368.177033492823,2265.702917771883,,1167.8648648648648,2189.2569832402237,2537.3863636363635,,2206.03738317757,2461.9430379746836
2019-08-02,1836.4791666666667,,2480.7748091603053,,,2350.6199376947043,2276.3867276887872,,1333.9418604651162,2124.2337662337663,2320.079207920792,,2152.6061855670105,2364.503787878788
2019-08-03,1811.4709418837676,,2569.9523809523807,,,2370.3175675675675,2312.8032876712327,,1470.4,2197.7742718446602,2570.062857142857,,2107.6514285714284,2481.641212121212
2019-08-04,1740.7549234135668,,2529.688022284123,,,2420.3026315789475,2302.39824120603,,1383.3076923076924,2164.147806004619,2428.733333333333,,2215.280821917808,2388.8164705882355
2019-08-05,1865.988326848249,2231.5,2524.413888888889,,,2338.7651821862346,2312.9536751080914,,1671.4903846153845,2165.651282051282,2482.243902439024,,2132.4105504587155,2458.264755480607
2019-08-06,1729.822380106572,,2492.986072423398,,,2309.679166666667,2269.467202970297,,1356.2363636363636,2134.9004975124376,2566.1267605633802,,2076.7118155619596,2420.554726368159
2019-08-07,1875.584686774942,,2371.218658892128,,,2394.4347826086955,2282.3253588516745,,1161.7307692307693,2114.6024464831803,2411.8793103448274,,2184.5263157894738,2319.990625
2019-08-08,1768.9030837004404,,2550.532520325203,,,2345.8709677419356,2274.5822401614532,,1539.6923076923076,2158.44,2471.1944444444443,,2150.985401459854,2405.418879056047
2019-08-09,1779.3620689655172,,2469.8205128205127,,,2405.8835820895524,2277.9238548483045,,1511.3103448275863,2156.1265822784812,2462.872549019608,,2176.085245901639,2452.4805699481867
2019-08-10,1776.5239179954442,,2573.172069825436,,,2352.511111111111,2283.7582025677602,,1456.090909090909,2207.8285714285716,2459.8888888888887,,2186.1431064572425,2453.5848787446507
2019-08-11,1748.396449704142,2161.0,2526.0646900269544,,,2334.7577639751553,2301.411022576361,,1554.8529411764705,2120.947103274559,2636.779220779221,,2176.6035353535353,2425.3739726027397
2019-08-12,1792.5424242424242,,2351.982269503546,,,2274.715328467153,2285.435135135135,,1422.438596491228,2112.1340782122907,1947.025641025641,,2044.8327137546469,2382.051948051948
2019-08-13,1838.125226860254,2155.0,2471.5444685466377,,,2389.4241486068113,2283.034693877551,,1262.5227272727273,2184.7751677852348,2458.027972027972,,2065.8845070422535,2438.0991957104557
2019-08-14,1749.1028880866427,,2549.296511627907,,,2290.483754512635,2271.2356570018505,,1360.74,2125.404255319149,2427.042857142857,,2134.5538461538463,2418.4165554072097
