,launch_angle,launch_speed,estimated_ba_using_speedangle,events
945,20,99.5,0.42,field_out
1173,29,99.8,0.68,field_out
584,46,79.0,0.06,field_out
648,20,97.3,0.287,field_out
725,13,103.8,0.847,single
674,57,101.2,0.027,field_out
705,4,100.9,0.56,field_out
787,55,79.7,0.02,field_out
1031,33,90.0,0.08,double
857,21,63.4,0.6,single
1023,24,69.6,0.96,double
832,-27,84.6,0.067,field_out
893,-28,87.8,0.06,field_out
1166,29,85.3,0.02,field_out
783,33,94.1,0.167,field_out
948,1,91.5,0.34,field_out
983,32,80.8,0.067,triple
786,69,80.0,0.0,field_out
889,-44,50.6,0.193,field_out
1111,-21,76.0,0.033,field_out
792,-2,94.9,0.36,single
1175,69,80.0,0.0,field_out
432,15,110.5,0.747,double
595,18,105.9,0.713,field_out
72,34,103.1,0.673,home_run
79,26,84.3,0.127,field_out
83,-2,102.5,0.387,field_error
104,-40,66.2,0.093,double
150,17,96.9,0.493,field_out
148,-22,90.5,0.14,field_out
184,28,103.6,0.967,home_run
200,49,85.8,0.007,field_out
230,-14,101.5,0.253,grounded_into_double_play
227,69,80.0,0.0,field_out
289,2,105.7,0.54,field_out
337,24,93.7,0.207,sac_fly
353,17,80.1,0.967,single
442,16,91.6,0.753,single
455,19,99.2,0.393,double
577,21,97.4,0.293,field_out
475,69,80.0,0.0,field_out
619,-29,92.6,0.1,field_out
785,-23,98.0,0.2,field_out
636,-14,70.3,0.073,field_out
734,29,107.4,0.973,home_run
781,38,111.9,0.833,home_run
1228,-5,104.6,0.42,field_out
801,-1,96.9,0.367,grounded_into_double_play
918,-6,93.7,0.267,force_out
1145,-17,90.3,0.147,single
888,40,94.1,0.013,field_out
1155,-24,96.3,0.12,single
585,37,96.0,0.127,field_out
481,-25,66.5,0.047,field_out
563,69,80.0,0.0,field_out
748,-8,83.0,0.16,field_out
838,41,88.6,0.013,field_out
1074,32,107.1,0.947,field_out
717,-16,67.3,0.08,grounded_into_double_play
841,20,58.9,0.373,single
899,-33,78.8,0.06,field_out
0,-8,75.2,0.073,field_out
31,1,109.7,0.593,single
34,39,92.5,0.04,field_out
637,6,97.1,0.587,field_out
776,26,101.3,0.793,sac_fly
919,-13,103.1,0.327,field_out
1100,18,107.8,0.78,double
41,39,95.1,0.067,field_out
52,-7,66.3,0.053,field_out
71,61,102.8,0.027,field_out
640,-22,80.0,0.06,field_out
864,-4,79.0,0.147,single
1163,31,107.2,0.947,home_run
713,12,91.8,0.887,single
817,69,80.0,0.0,field_out
902,18,78.5,0.98,single
1051,15,112.7,0.753,single
580,24,88.4,0.147,field_out
682,-58,54.7,0.193,single
242,49,87.4,0.007,field_out
332,11,110.6,0.893,single
1135,-11,73.2,0.1,field_out
228,34,93.6,0.147,sac_fly
320,-22,98.8,0.2,single
340,41,89.0,0.013,field_out
356,-31,76.2,0.033,field_out
407,7,93.8,0.5,field_out
444,-9,67.0,0.053,grounded_into_double_play
574,12,105.0,0.867,single
525,69,80.0,0.0,field_out
622,17,95.4,0.46,field_out
662,21,108.7,0.98,double
680,68,84.6,0.007,field_out
715,27,88.9,0.107,field_out
1142,69,80.0,0.0,field_out
762,28,89.0,0.087,field_out
852,35,107.6,0.847,home_run
912,43,81.5,0.06,field_out
1024,45,68.4,0.36,field_out
559,9,106.1,0.787,field_out
851,7,100.2,0.6,single
1169,2,107.0,0.56,single
532,11,98.8,0.913,double
594,43,103.9,0.273,home_run
698,1,90.8,0.34,field_out
1161,17,101.4,0.433,field_out
690,-22,67.8,0.033,field_out
735,25,104.2,0.887,home_run
784,69,80.0,0.0,field_out
908,38,81.6,0.013,field_out
1141,69,80.0,0.0,field_out
879,-17,98.0,0.18,field_out
1109,-27,68.2,0.04,field_out
1182,40,89.6,0.02,field_out
441,14,91.5,0.96,single
471,3,95.0,0.487,grounded_into_double_play
539,1,90.0,0.447,single
802,24,102.0,0.833,double
500,38,100.2,0.253,field_out
522,16,107.9,0.647,field_out
661,19,98.0,0.407,double
923,-7,84.1,0.14,field_out
1006,69,80.0,0.0,field_out
1067,8,90.7,0.533,field_out
849,55,78.2,0.073,field_out
1021,15,98.8,0.753,field_out
1148,21,104.9,0.86,single
39,32,93.8,0.18,field_out
46,-21,82.9,0.073,field_out
66,35,98.6,0.333,field_out
36,9,100.6,0.687,field_out
96,-20,78.8,0.033,field_out
91,10,92.5,0.66,single
113,-19,94.2,0.153,grounded_into_double_play
162,37,78.0,0.027,single
157,5,86.7,0.367,single
190,36,90.0,0.04,field_out
198,9,93.7,0.573,single
234,69,80.0,0.0,field_out
183,42,99.0,0.1,field_out
191,-23,90.3,0.153,single
291,-21,96.5,0.16,field_out
342,16,99.6,0.54,double
380,69,80.0,0.0,field_out
462,13,75.1,0.48,single
599,29,99.1,0.54,double
386,-8,65.2,0.06,field_out
