,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
115,chapman,aroldis,547973,2367.8142,2426.5405,58.726185,0.060640316,0.09388495,0.033244636,0.07726263,2397.1775
116,chargois,j. t.,608638,2228.269,2259.9539,31.684666,0.019821774,0.02356795,0.0037461766,0.021694863,2244.1116
117,chatwood,tyler,543022,2336.8486,2365.1067,28.25806,0.013700981,0.016697554,0.0029965728,0.015199267,2350.9778
118,chavez,jesse,445926,2099.2358,2142.7463,43.51051,0.08386115,0.12817267,0.044311512,0.10601691,2120.991
119,cimber,adam,643256,1980.5272,2026.9097,46.382427,0.06964024,0.11950086,0.049860615,0.094570555,2003.7184
120,cishek,steve,518553,2428.0774,2443.2952,15.217844,0.027744472,0.032536715,0.0047922446,0.030140594,2435.6863
121,cisnero,jose,542585,2418.5234,2462.8962,44.372704,0.055805683,0.09326744,0.037461758,0.07453656,2440.71
122,civale,aaron,650644,1553.961,1656.5907,102.62971,0.0119284075,0.014405237,0.0024768293,0.0131668225,1605.2759
123,clarke,taylor,664199,2266.3057,2290.549,24.243519,0.012899164,0.015485731,0.0025865668,0.014192448,2278.4272
124,clase,emmanuel,661403,2098.968,2152.1934,53.225273,0.008643931,0.010522034,0.0018781032,0.009582982,2125.5806
125,clay,sam,621348,1956.5114,2010.5234,54.01208,0.06632019,0.112710156,0.046389967,0.08951517,1983.5175
126,cleavinger,garrett,664076,2368.5273,2386.5073,17.980007,0.01491811,0.017626444,0.002708333,0.016272277,2377.5173
127,clippard,tyler,461325,2325.0337,2345.5427,20.509075,0.032280385,0.06867003,0.03638964,0.050475206,2335.2883
128,cobb,alex,502171,2286.019,2348.2856,62.266735,0.0705941,0.117142424,0.04654832,0.09386826,2317.1523
129,cole,gerrit,543037,2284.521,2333.352,48.83117,0.015801907,0.018699624,0.0028977168,0.017250765,2308.9365
130,coleman,dylan,669395,2628.4382,2664.1736,35.73525,0.028376296,0.053896092,0.025519796,0.041136194,2646.306
131,colome,alex,517008,1941.3007,1978.0299,36.729263,0.048839897,0.08785697,0.039017074,0.06834844,1959.6653
132,conley,adam,543045,1852.0509,1921.8499,69.79897,0.06874082,0.10884495,0.040104132,0.08879288,1886.9504
133,contreras,roansy,672710,2378.3054,2417.2312,38.925793,0.013765032,0.016576698,0.0028116654,0.015170865,2397.7683
134,coonrod,sam,656322,2349.7449,2390.0396,40.294632,0.024946831,0.030466413,0.0055195824,0.027706623,2369.8923
135,corbin,patrick,571578,2010.0448,2051.1694,41.12477,0.012206722,0.014197468,0.0019907458,0.0132020945,2030.6072
136,cortes,nestor,641482,2221.3652,2251.7007,30.335314,0.015469729,0.020725194,0.0052554663,0.018097462,2236.533
137,cotton,jharel,605194,2391.6084,2434.555,42.94657,0.066489324,0.11266086,0.04617154,0.08957509,2413.0815
138,coulombe,danny,543056,1862.7998,1890.6188,27.818928,0.01393144,0.01838087,0.0044494285,0.016156154,1876.7094
139,cousins,jake,664776,2339.534,2385.5315,45.997505,0.0144490395,0.017095396,0.0026463575,0.015772218,2362.5327
140,crawford,kutter,676710,2028.9032,2068.9238,40.020546,0.06267767,0.11273556,0.050057903,0.08770661,2048.9136
141,crichton,stefan,592233,1933.8312,1993.1627,59.33162,0.08137859,0.13276996,0.051391378,0.107074276,1963.497
142,crismatt,nabil,622503,2021.9468,2131.9268,109.98,0.011259596,0.013402748,0.0021431528,0.012331172,2076.9368
143,criswell,cooper,681867,2569.314,2625.8174,56.503304,0.015803333,0.018543063,0.0027397303,0.017173199,2597.5657
144,crochet,garrett,676979,2121.5173,2168.547,47.029964,0.06491153,0.10600267,0.041091144,0.0854571,2145.0322
145,crouse,hans,668968,2514.6357,2548.7566,34.120773,0.014886689,0.01784447,0.0029577813,0.01636558,2531.696
